generation,min_fitness,avg_fitness,max_fitness
0,-177.43,-127.69,-98.69
1,-203.89,-127.30,-90.05
2,-174.97,-129.79,-57.19
3,-186.14,-129.82,-64.01
4,-205.48,-126.44,-80.85
5,-179.46,-127.18,-70.27
6,-182.20,-125.07,-89.32
7,-206.57,-128.10,-98.30
8,-182.26,-126.46,-95.87
9,-179.69,-126.15,-100.06
10,-179.93,-122.61,-99.44
11,-181.24,-123.15,-100.06
12,-175.52,-121.66,-99.64
13,-172.70,-116.87,-70.69
14,-166.94,-118.50,-78.18
15,-174.47,-119.87,-99.51
16,-173.31,-115.77,-95.05
17,-164.07,-115.91,-98.29
18,-175.14,-113.20,-98.81
19,-180.27,-109.60,-98.89
20,-160.37,-109.14,-98.61
21,-181.98,-107.32,-98.77
22,-172.46,-108.78,-99.09
23,-164.18,-109.84,-99.00
24,-153.24,-104.03,-97.97
25,-181.83,-107.19,-98.71
26,-182.56,-109.56,-96.99
27,-154.87,-104.34,-97.39
28,-155.70,-104.09,-98.63
29,-157.03,-106.19,-98.76
30,-182.63,-107.72,-97.83
31,-180.85,-104.69,-98.43
32,-144.75,-104.30,-95.36
33,-179.95,-104.29,-98.93
34,-173.92,-105.13,-98.58
35,-175.34,-104.31,-98.93
36,-171.17,-107.07,-98.95
37,-153.21,-104.10,-96.63
38,-176.44,-103.21,-98.80
39,-153.19,-103.71,-98.77
40,-168.10,-103.57,-98.76
41,-170.26,-104.08,-98.70
42,-181.20,-104.57,-98.52
43,-153.24,-103.14,-98.42
44,-153.97,-102.78,-98.86
45,-138.07,-102.30,-98.42
46,-125.37,-101.80,-98.70
47,-178.03,-102.57,-98.48
48,-156.91,-103.52,-98.63
49,-154.87,-103.06,-98.81
50,-165.80,-103.97,-98.81
51,-166.97,-102.95,-98.73
52,-126.30,-101.95,-98.52
53,-119.33,-101.40,-98.30
54,-180.09,-102.67,-98.30
55,-126.60,-101.47,-98.29
56,-125.19,-101.90,-98.55
57,-148.17,-102.73,-98.58
58,-153.25,-102.60,-97.94
59,-172.46,-102.54,-98.08
60,-135.86,-102.08,-98.44
61,-107.20,-100.81,-98.42
62,-146.29,-101.87,-98.58
63,-144.98,-102.49,-98.50
64,-196.49,-102.86,-96.37
65,-128.43,-101.61,-98.25
66,-176.16,-102.09,-89.31
67,-162.96,-103.72,-98.17
68,-176.95,-103.13,-97.38
69,-157.61,-104.82,-97.28
70,-173.69,-103.26,-98.32
71,-152.98,-102.02,-96.49
72,-156.73,-102.55,-98.47
73,-171.91,-102.82,-98.37
74,-151.56,-102.18,-98.15
75,-154.14,-101.95,-94.08
76,-174.50,-104.28,-98.12
77,-141.85,-101.89,-96.54
78,-152.66,-103.13,-97.00
79,-138.30,-103.48,-97.24
80,-156.72,-102.82,-97.41
81,-167.75,-102.22,-98.23
82,-148.96,-101.96,-96.85
83,-159.76,-102.63,-98.58
84,-135.62,-102.01,-98.27
85,-154.55,-102.30,-97.00
86,-130.01,-100.82,-83.31
87,-126.25,-101.61,-97.91
88,-127.74,-101.59,-97.03
89,-132.99,-101.52,-97.42
90,-169.61,-102.22,-98.54
91,-107.44,-100.87,-98.23
92,-149.11,-101.66,-96.07
93,-156.10,-103.39,-94.24
94,-137.95,-101.11,-93.67
95,-138.39,-104.16,-96.54
96,-138.10,-102.69,-97.41
97,-136.74,-101.72,-95.57
98,-156.03,-104.51,-94.70
99,-133.35,-103.25,-93.57
100,-165.53,-106.87,-64.67
101,-185.88,-109.99,-96.60
102,-148.85,-105.63,-96.12
103,-180.68,-107.42,-94.60
104,-153.74,-103.15,-96.57
105,-170.94,-108.05,-96.69
106,-193.84,-108.01,-92.92
107,-204.05,-106.64,-95.73
108,-186.45,-107.96,-96.85
109,-154.61,-104.19,-95.24
110,-161.56,-103.89,-94.39
111,-153.83,-104.65,-94.65
112,-149.11,-102.97,-94.83
113,-190.54,-104.13,-95.82
114,-175.10,-104.36,-92.97
115,-158.06,-104.20,-95.64
116,-151.69,-104.44,-95.81
117,-162.19,-104.85,-94.17
118,-154.61,-105.46,-91.93
119,-169.07,-106.22,-94.64
120,-160.79,-106.09,-95.65
121,-171.93,-104.51,-92.63
122,-215.80,-107.75,-89.13
123,-182.37,-105.74,-92.95
124,-180.91,-104.92,-94.20
125,-213.01,-107.11,-92.42
126,-177.73,-105.10,-94.69
127,-144.99,-102.46,-90.69
128,-211.81,-103.61,-88.75
129,-168.83,-103.95,-91.80
130,-195.07,-107.17,-91.05
131,-167.35,-107.62,-90.33
132,-150.13,-103.14,-93.99
133,-151.97,-105.24,-89.33
134,-165.43,-106.50,-93.33
135,-165.51,-109.04,-92.42
136,-204.91,-106.23,-90.01
137,-171.31,-107.90,-89.80
138,-160.52,-105.39,-90.62
139,-184.54,-107.01,-89.67
140,-157.89,-107.99,-90.18
