generation,min_fitness,avg_fitness,max_fitness
0,-172.13,-123.01,-80.65
1,-178.48,-123.44,-88.95
2,-177.02,-122.85,-79.93
3,-175.79,-124.52,-94.68
4,-172.55,-119.43,-98.01
5,-176.07,-119.34,-81.77
6,-181.54,-119.91,-99.76
7,-181.05,-120.47,-97.21
8,-179.75,-114.14,-93.87
9,-182.01,-114.13,-97.47
10,-162.13,-110.45,-97.35
11,-183.30,-113.59,-77.87
12,-182.20,-110.67,-81.51
13,-169.79,-110.97,-97.54
14,-175.15,-113.19,-97.56
15,-182.50,-111.66,-69.86
16,-181.28,-110.21,-96.95
17,-177.51,-112.83,-98.47
18,-181.37,-114.07,-98.22
19,-183.08,-112.79,-98.01
20,-181.31,-112.51,-92.35
21,-183.67,-109.87,-96.98
22,-180.75,-112.40,-97.83
23,-181.74,-108.51,-96.54
24,-181.38,-109.42,-96.59
25,-151.57,-106.44,-95.85
26,-181.37,-107.72,-95.72
27,-181.88,-111.55,-98.26
28,-181.38,-112.21,-93.46
29,-182.53,-108.91,-61.34
30,-155.48,-105.61,-96.87
31,-181.24,-109.77,-97.31
32,-179.27,-108.62,-83.76
33,-178.29,-111.17,-97.05
34,-181.83,-111.67,-81.57
35,-181.63,-108.82,-92.59
36,-182.71,-109.59,-90.76
37,-182.42,-109.44,-69.63
38,-183.17,-110.76,-25.56
39,-182.58,-109.64,-90.55
40,-181.98,-110.09,-97.20
41,-154.63,-105.27,-60.77
42,-182.81,-113.18,-70.39
43,-182.55,-106.66,8.53
44,-182.34,-106.67,-82.97
45,-179.90,-107.09,-67.05
46,-151.61,-101.50,40.19
47,-168.03,-105.96,-60.51
48,-179.81,-105.16,60.12
49,-155.36,-108.76,-45.78
50,-153.02,-107.69,-71.57
51,-162.89,-109.34,-25.24
52,-154.27,-104.34,-32.03
53,-172.76,-103.22,-22.39
54,-155.95,-106.40,-14.98
55,-174.59,-103.40,-13.29
56,-163.71,-105.92,-18.85
57,-175.41,-103.75,-10.26
58,-182.48,-104.75,14.45
59,-186.13,-100.93,74.05
60,-172.87,-96.65,0.77
61,-153.09,-89.35,64.35
62,-159.82,-90.25,36.96
63,-162.72,-89.14,38.03
64,-197.48,-84.25,88.01
65,-169.43,-72.01,123.51
66,-170.36,-62.94,127.13
67,-149.47,-62.32,70.85
68,-151.42,-54.97,134.52
69,-170.82,-55.13,157.45
70,-149.13,-51.58,105.91
71,-156.52,-51.88,171.34
72,-171.81,-54.85,150.54
73,-161.11,-36.60,177.01
74,-168.58,-30.74,167.91
75,-168.56,-33.44,180.89
76,-164.13,-28.48,158.43
77,-151.93,-29.98,152.15
78,-180.00,-31.15,182.84
79,-160.42,-13.19,174.99
80,-166.28,-13.63,194.21
81,-157.77,-7.27,191.61
82,-168.15,-14.04,190.85
83,-178.22,-27.62,217.83
84,-175.43,17.40,193.13
85,-153.31,0.24,191.94
86,-160.61,27.26,178.85
87,-153.22,-14.40,213.46
88,-168.11,-20.82,172.80
89,-178.62,0.48,217.58
90,-158.65,0.46,193.30
91,-149.94,12.56,215.71
92,-166.71,0.72,195.93
93,-193.54,-6.52,196.46
94,-152.47,4.55,206.16
95,-172.08,21.93,222.18
96,-156.54,27.12,184.54
97,-168.07,19.55,194.46
98,-157.03,20.40,211.89
99,-157.04,33.60,196.39
100,-140.06,50.40,188.20
101,-136.98,26.43,229.81
102,-176.23,37.26,203.93
103,-173.98,52.10,194.80
104,-139.81,35.11,192.89
105,-177.03,50.71,211.91
106,-166.18,38.58,217.30
107,-177.40,55.58,218.77
108,-174.99,16.82,207.74
109,-177.74,36.17,227.11
110,-178.53,44.50,232.43
111,-174.73,49.23,211.31
112,-131.93,42.57,228.49
113,-146.03,55.78,218.52
114,-179.55,56.76,213.72
115,-173.68,72.09,226.35
116,-174.02,54.43,245.77
117,-171.27,41.47,223.39
118,-131.44,62.29,231.94
119,-165.34,71.98,232.24
120,-167.84,66.79,254.78
121,-132.85,101.27,237.94
122,-139.76,81.42,229.86
123,-143.83,78.30,236.96
124,-138.73,98.57,232.73
125,-138.51,63.32,244.62
126,-139.62,82.70,246.44
127,-151.50,83.90,239.63
128,-163.40,85.17,231.43
129,-129.47,98.09,252.36
130,-130.25,85.43,244.59
131,-158.93,76.23,237.94
132,-155.72,79.40,241.91
133,-121.93,80.68,244.71
134,-149.85,94.50,251.24
135,-129.08,70.59,230.94
136,-128.97,119.79,255.42
137,-166.60,91.50,238.75
138,-130.94,105.02,236.73
139,-178.19,128.05,243.19
140,-143.83,118.34,246.44
141,-152.03,88.90,244.54
142,-155.33,129.44,242.43
143,-112.96,120.07,246.93
144,-125.10,127.21,248.19
145,-135.92,106.91,247.61
146,-130.48,89.62,246.43
147,-112.72,149.87,245.40
148,-123.61,131.07,250.95
149,-164.31,115.25,244.67
150,-127.27,110.94,235.52
151,-122.42,125.21,245.13
152,-157.05,83.90,254.95
153,-143.34,83.78,258.81
154,-122.43,94.56,256.99
155,-118.85,104.83,260.97
156,-141.56,100.42,241.96
157,-125.27,122.31,249.58
158,-130.07,119.31,253.62
159,-129.35,117.02,246.61
160,-118.66,108.43,254.49
161,-129.07,102.84,247.69
162,-131.73,120.29,258.36
163,-125.91,90.94,248.36
164,-143.38,139.39,257.56
165,-141.00,107.87,247.49
166,-125.28,131.79,259.30
167,-127.98,115.04,249.68
168,-138.04,113.03,262.76
169,-129.14,117.31,253.60
170,-123.52,112.66,262.32
171,-136.03,105.82,250.43
172,-140.20,123.42,251.02
173,-128.66,113.51,261.69
174,-130.07,137.99,253.81
175,-170.16,131.93,253.58
176,-146.40,109.60,252.44
177,-122.97,122.95,251.72
178,-128.17,109.50,254.24
179,-115.79,126.70,254.37
180,-118.69,132.90,261.70
181,-117.33,127.80,260.26
182,-126.02,127.00,270.85
183,-150.38,97.36,257.01
184,-146.32,151.98,264.49
185,-138.33,128.36,262.06
186,-159.65,107.97,258.29
187,-121.62,114.54,259.86
188,-130.58,123.52,261.81
189,-128.85,124.51,264.31
190,-113.95,113.92,257.07
191,-122.64,123.29,262.91
192,-135.57,136.41,250.85
193,-109.40,133.32,256.82
194,-124.85,130.13,266.20
195,-117.57,147.72,257.08
196,-120.21,123.19,261.59
197,-165.66,133.10,253.19
198,-126.30,130.46,258.90
199,-159.54,142.96,263.63
200,-124.73,129.88,260.42
201,-160.06,145.32,258.42
202,-129.54,150.59,258.89
203,-113.08,152.42,258.32
204,-99.49,168.93,260.20
205,-160.82,144.59,262.81
206,-115.89,159.29,258.33
207,-110.83,163.99,264.81
208,-163.03,125.64,261.66
209,-177.56,154.23,258.27
210,-119.72,161.40,264.57
211,-172.81,131.09,264.45
212,-129.96,156.61,266.23
213,-126.38,163.52,262.53
214,-111.89,174.79,263.86
215,-131.63,169.78,265.35
216,-130.41,144.54,272.40
217,-135.03,142.06,265.88
218,-165.78,132.77,264.79
219,-123.20,151.89,260.06
220,-135.16,155.63,264.61
221,-130.49,142.78,262.11
222,-123.67,151.28,263.96
223,-123.70,142.11,262.89
224,-173.50,132.68,266.52
225,-127.43,149.27,267.40
226,-152.12,128.05,263.22
227,-121.68,153.36,269.45
228,-155.17,126.91,267.16
229,-156.78,127.62,267.11
230,-175.51,118.06,267.76
231,-136.61,139.54,261.90
232,-126.52,150.51,265.21
233,-172.68,159.58,267.10
234,-142.84,150.28,266.97
235,-141.23,161.12,263.76
236,-172.64,164.45,265.48
237,-128.50,161.43,267.29
238,-145.10,133.33,269.55
239,-151.21,140.67,269.74
240,-116.89,171.42,267.91
241,-117.89,158.79,267.64
242,-117.06,156.94,263.57
243,-155.90,164.00,268.32
244,-155.36,167.87,271.21
245,-122.77,151.02,269.19
246,-124.05,166.66,270.79
247,-123.31,152.67,265.42
248,-122.81,146.78,266.37
249,-148.93,186.06,268.27
250,-148.90,166.27,268.95
251,-162.52,153.89,266.35
252,-164.55,185.06,270.26
253,-127.45,170.04,273.44
254,-122.09,179.37,269.84
255,-123.52,175.14,271.93
256,-111.34,166.92,274.79
257,-117.94,162.56,267.76
258,-122.48,159.87,269.67
259,-157.16,169.21,270.40
260,-131.90,185.20,267.37
261,-124.33,171.77,269.06
262,-122.99,179.04,267.62
263,-157.01,162.42,269.02
264,-121.25,179.99,268.13
265,-145.75,158.27,268.81
266,-114.58,190.64,268.38
267,-118.52,193.03,271.86
268,-132.45,174.84,270.70
269,-124.97,162.83,276.12
270,-157.95,156.07,270.73
