generation,min_fitness,avg_fitness,max_fitness
0,-179.79,-120.26,-96.10
1,-177.96,-122.52,-91.78
2,-178.67,-121.81,-100.74
3,-180.61,-115.89,-32.75
4,-182.70,-118.38,-99.40
5,-178.14,-116.97,-87.04
6,-181.98,-121.35,-100.12
7,-183.21,-116.61,-97.02
8,-183.62,-114.42,-85.71
9,-182.94,-115.74,-98.43
10,-185.15,-114.70,-94.82
11,-180.71,-111.98,-99.35
12,-175.08,-110.77,-86.44
13,-180.64,-113.33,-98.87
14,-179.04,-112.92,-98.92
15,-178.93,-108.14,-98.22
16,-161.60,-108.27,-98.41
17,-180.85,-109.84,-98.81
18,-182.50,-109.16,-98.21
19,-168.42,-105.85,-98.84
20,-172.61,-108.96,-98.11
21,-182.27,-108.12,-98.74
22,-181.33,-108.04,-98.94
23,-182.24,-105.70,-97.12
24,-174.62,-104.39,-98.59
25,-153.80,-104.38,-92.67
26,-169.46,-103.06,-33.79
27,-178.49,-105.24,-95.69
28,-143.43,-104.13,-96.48
29,-139.39,-103.23,-98.33
30,-172.69,-104.78,-97.96
31,-167.39,-103.51,-98.45
32,-159.55,-104.73,-98.57
33,-137.19,-104.07,-98.81
34,-177.17,-103.64,-98.83
35,-125.70,-101.76,-99.04
36,-126.47,-101.71,-98.80
37,-130.79,-102.16,-97.85
38,-128.93,-101.97,-98.77
39,-141.61,-102.56,-98.97
40,-121.06,-101.09,-98.41
41,-131.71,-102.38,-98.41
42,-172.63,-103.47,-98.72
43,-164.31,-101.59,-98.54
44,-152.39,-101.70,-95.81
45,-129.13,-102.13,-98.36
46,-134.94,-102.31,-98.47
47,-169.82,-102.68,-98.64
48,-140.16,-101.96,-98.48
49,-150.77,-101.87,-98.54
50,-123.41,-101.59,-98.33
51,-108.36,-101.12,-98.75
52,-145.23,-101.01,-98.46
53,-142.26,-101.24,-98.53
54,-154.14,-101.86,-98.40
55,-137.54,-101.38,-98.39
56,-115.00,-100.84,-98.25
57,-106.86,-100.88,-98.31
58,-125.03,-101.32,-98.43
59,-120.79,-101.22,-97.87
60,-124.25,-101.01,-98.43
61,-144.87,-101.53,-98.76
62,-179.69,-102.32,-98.28
63,-111.24,-100.65,-98.70
64,-130.11,-102.14,-98.19
65,-177.45,-102.90,-98.43
66,-138.11,-101.30,-98.21
67,-104.48,-100.48,-98.36
68,-137.09,-101.01,-98.36
69,-128.28,-101.00,-98.17
70,-120.89,-101.43,-98.35
71,-119.86,-100.40,-98.48
72,-128.90,-100.96,-98.38
73,-126.24,-100.42,-98.26
74,-172.08,-102.77,-97.00
75,-152.31,-102.10,-98.04
76,-176.49,-101.29,-96.87
77,-131.33,-101.63,-98.46
78,-150.59,-100.97,-98.53
79,-129.71,-100.86,-98.55
80,-122.09,-100.36,-98.09
81,-114.21,-100.78,-98.44
82,-131.27,-100.69,-98.18
83,-120.89,-100.34,-98.05
84,-134.99,-100.68,-97.73
85,-122.10,-100.77,-98.50
86,-126.48,-100.51,-98.01
87,-106.90,-100.37,-97.83
88,-138.61,-101.57,-98.15
89,-124.17,-100.77,-98.46
90,-152.90,-101.89,-97.70
91,-171.28,-102.91,-98.51
92,-129.36,-100.43,-97.55
93,-130.35,-100.98,-98.39
94,-133.31,-100.67,-97.99
95,-107.39,-100.60,-97.33
96,-141.36,-102.07,-94.97
97,-142.74,-102.81,-97.58
98,-174.19,-102.75,-97.64
99,-151.54,-102.86,-95.72
100,-158.70,-103.88,-97.07
101,-137.13,-102.00,-96.92
102,-136.08,-101.53,-97.00
103,-145.96,-102.49,-97.41
104,-140.12,-103.19,-98.15
105,-142.53,-101.58,-96.04
106,-178.82,-101.39,-96.66
107,-159.37,-103.05,-97.51
108,-170.76,-103.29,-97.75
109,-138.05,-101.96,-96.59
110,-176.44,-103.71,-97.09
111,-135.44,-102.25,-97.03
112,-151.95,-103.05,-97.81
113,-154.10,-102.48,-94.16
114,-178.55,-105.26,-96.79
115,-180.99,-105.80,-96.26
116,-181.48,-107.33,-95.99
117,-167.43,-104.64,-94.95
118,-182.61,-107.26,-96.73
119,-162.12,-104.63,-97.22
120,-160.05,-103.56,-96.29
121,-144.39,-102.84,-96.42
122,-178.28,-105.37,-97.12
123,-154.36,-102.34,-93.89
124,-168.43,-103.81,-93.03
125,-156.54,-102.32,-97.42
126,-147.35,-101.90,-94.16
127,-156.91,-103.79,-92.81
128,-208.03,-105.60,-94.74
129,-150.38,-103.75,-92.44
130,-174.24,-105.48,-94.53
131,-173.38,-103.79,-94.33
132,-172.62,-104.75,-91.99
133,-159.13,-108.22,-96.48
134,-185.34,-106.50,-94.78
135,-173.38,-104.83,-93.77
136,-180.87,-107.14,-95.27
137,-162.32,-106.35,-95.19
138,-164.17,-105.77,-93.93
139,-165.20,-104.69,-95.69
140,-161.88,-106.48,-93.88
141,-203.05,-106.31,-94.96
142,-163.77,-105.12,-89.03
143,-201.11,-113.52,-94.67
144,-165.92,-107.36,-93.08
145,-182.58,-109.25,-92.64
146,-168.57,-111.35,-91.25
147,-170.81,-110.53,-88.24
148,-175.63,-115.44,-89.98
149,-200.96,-110.65,-91.09
150,-234.43,-111.06,-92.26
151,-171.57,-112.36,-92.19
152,-169.68,-106.50,-91.31
153,-159.18,-107.37,-92.52
154,-185.25,-108.36,-94.01
155,-176.49,-112.04,-93.87
156,-187.59,-108.18,-90.62
157,-170.77,-116.42,-90.94
158,-183.50,-111.67,-89.58
159,-195.47,-111.53,-92.00
160,-208.11,-112.90,-90.32
161,-181.20,-109.76,-92.43
162,-237.44,-107.84,-91.65
163,-189.81,-114.16,-85.39
164,-193.57,-107.09,-90.31
165,-171.33,-112.14,-92.06
166,-170.47,-110.91,-92.13
167,-161.44,-106.10,-87.10
168,-179.01,-112.26,-90.13
169,-164.72,-110.00,-90.47
170,-163.97,-107.41,-92.33
171,-171.16,-113.68,-90.70
172,-164.28,-113.62,-90.69
173,-201.97,-112.61,-89.54
174,-167.95,-112.67,-90.47
175,-201.86,-113.80,-90.08
176,-189.07,-110.63,-89.91
177,-178.12,-112.17,-91.46
178,-166.34,-107.38,-93.15
179,-196.19,-113.23,-85.35
180,-191.05,-111.34,-92.36
181,-186.70,-108.92,-89.74
182,-199.04,-109.54,-86.01
183,-181.95,-106.47,-82.87
184,-200.41,-109.96,-89.84
185,-184.99,-111.11,-90.90
186,-168.30,-111.98,-89.68
187,-180.22,-116.15,-90.88
188,-167.14,-113.46,-85.01
189,-179.01,-115.14,-90.01
190,-214.99,-108.71,-90.33
191,-181.21,-106.06,-87.83
192,-176.47,-109.98,-88.35
193,-193.57,-108.68,-90.38
194,-190.00,-105.91,-89.56
195,-170.21,-107.06,-90.46
196,-157.66,-104.42,-90.15
197,-172.63,-106.36,-91.01
198,-186.64,-104.35,-91.54
199,-189.50,-108.06,-91.74
