generation,min_fitness,avg_fitness,max_fitness
0,-178.65,-124.24,-67.00
0,-178.64,-123.76,-63.09
1,-176.66,-124.79,-74.68
2,-174.04,-126.56,-90.14
3,-177.31,-120.67,-62.38
4,-177.12,-126.70,-53.67
5,-178.74,-123.37,-83.23
6,-170.95,-126.89,-74.60
7,-176.46,-118.06,-80.25
8,-177.60,-122.99,-62.47
9,-174.73,-121.89,-74.02
10,-180.23,-122.16,-71.53
11,-176.48,-120.80,-56.15
12,-178.10,-120.92,-82.79
13,-170.67,-119.20,-82.63
14,-178.51,-120.62,-77.52
15,-176.00,-118.37,-37.41
16,-184.31,-115.92,-62.44
17,-177.69,-116.08,-70.89
18,-172.19,-116.13,-56.56
19,-161.78,-115.53,-64.79
20,-176.58,-113.37,-74.90
21,-173.82,-116.61,-78.29
22,-173.20,-116.57,69.45
23,-171.77,-113.62,-58.41
24,-168.86,-113.97,-57.59
25,-172.70,-114.17,-85.21
26,-176.04,-112.33,-64.17
27,-170.81,-112.11,-50.36
28,-174.23,-111.55,-48.86
29,-177.12,-116.19,-37.29
30,-167.20,-111.46,-39.12
31,-177.07,-109.80,-58.39
32,-177.34,-113.20,-58.45
33,-178.09,-110.73,-42.72
34,-171.52,-111.73,-39.15
35,-175.45,-110.41,-44.03
36,-174.15,-109.63,-46.80
37,-175.41,-110.65,-56.78
38,-173.51,-111.54,-58.80
39,-176.54,-109.18,-34.11
40,-174.50,-108.68,-57.13
41,-171.28,-106.78,-46.15
42,-177.02,-114.67,-69.57
43,-175.80,-112.95,-64.58
44,-175.32,-110.11,-52.02
45,-169.18,-111.53,-54.82
46,-174.38,-108.07,-47.33
47,-175.22,-112.24,-50.17
48,-177.15,-108.92,-48.96
49,-177.76,-110.58,-50.84
50,-157.35,-107.26,-45.64
51,-176.80,-108.36,0.26
52,-177.13,-112.54,-49.09
53,-178.65,-105.31,-32.92
54,-173.22,-107.79,-38.05
55,-212.66,-110.30,-55.62
56,-161.75,-109.05,-63.20
57,-179.00,-111.85,-50.10
58,-178.29,-106.24,-50.48
59,-164.91,-107.37,-42.36
60,-171.49,-105.72,-54.85
61,-190.17,-111.57,-52.31
62,-165.36,-112.54,-47.67
63,-175.40,-107.37,-27.58
64,-172.94,-105.35,-55.78
65,-209.07,-108.60,-18.39
66,-157.85,-102.60,-34.02
67,-186.74,-104.24,-22.63
68,-161.67,-106.53,-62.79
69,-170.88,-106.49,23.36
70,-172.17,-110.42,-41.33
71,-165.16,-108.89,-48.90
72,-174.50,-104.81,117.19
73,-169.74,-105.49,35.99
74,-158.55,-107.16,-57.62
75,-179.18,-109.38,-50.28
76,-161.68,-108.84,-51.72
77,-162.58,-106.81,-38.43
78,-168.14,-107.60,-43.85
79,-211.33,-109.15,-44.09
80,-174.66,-107.42,-40.26
81,-163.68,-105.27,-43.16
82,-173.05,-107.42,-53.70
83,-164.35,-105.63,-31.44
84,-176.48,-103.41,48.00
85,-219.41,-106.01,-38.91
86,-175.76,-107.62,-53.26
87,-156.49,-106.66,-47.56
88,-177.48,-108.55,-40.11
89,-151.63,-106.81,-48.24
90,-168.80,-110.10,-37.11
91,-161.31,-101.24,70.31
92,-180.23,-100.33,-30.99
93,-172.99,-110.41,-38.00
94,-163.12,-104.16,44.82
95,-173.16,-111.90,-24.75
96,-177.88,-106.70,-45.40
97,-172.23,-104.21,-55.74
98,-168.54,-105.87,-22.18
99,-197.86,-108.59,-43.90
100,-163.56,-103.98,-0.52
101,-169.26,-102.55,89.76
102,-176.29,-97.66,-4.39
103,-166.61,-100.13,0.84
104,-174.75,-104.73,-31.13
105,-207.47,-99.45,46.12
106,-164.57,-103.32,2.33
107,-178.39,-94.19,32.71
108,-196.65,-107.07,40.82
109,-178.74,-96.50,50.36
110,-159.67,-95.10,54.62
111,-167.95,-92.89,39.47
112,-174.31,-89.13,112.83
113,-180.49,-95.14,56.83
114,-192.35,-90.61,107.73
115,-170.21,-85.77,67.00
116,-174.79,-97.59,88.81
117,-171.58,-74.63,109.09
118,-156.81,-86.49,51.37
119,-198.63,-78.05,88.03
120,-164.97,-78.95,85.79
121,-176.53,-76.13,58.56
122,-166.24,-80.98,136.54
123,-161.73,-78.41,59.37
124,-175.98,-70.87,104.14
125,-169.61,-61.25,97.13
126,-174.01,-62.18,97.46
127,-175.45,-56.93,80.86
128,-173.82,-61.57,121.69
129,-181.07,-70.78,75.69
130,-167.25,-54.09,72.82
131,-186.40,-74.96,153.67
132,-173.05,-69.90,124.17
133,-177.08,-60.52,147.21
134,-162.79,-62.62,97.66
135,-175.11,-56.30,129.91
136,-199.50,-56.08,129.78
137,-173.32,-42.14,118.41
138,-175.69,-38.59,145.32
139,-170.34,-40.04,116.05
140,-167.34,-35.09,129.68
141,-150.87,-40.77,147.13
142,-176.14,-47.90,148.66
143,-177.86,-43.89,141.49
144,-177.18,-41.76,138.37
145,-161.51,-28.44,143.52
146,-189.48,-38.41,130.81
147,-150.84,-14.24,141.68
148,-171.20,-33.60,141.75
149,-206.29,-19.30,138.07
150,-159.06,-20.03,160.15
151,-160.81,-1.09,164.58
152,-166.56,-3.58,163.19
153,-169.76,-28.64,146.02
154,-175.05,6.45,146.30
155,-168.91,-5.63,159.43
156,-156.89,-0.07,154.68
157,-149.95,10.19,141.20
158,-166.34,13.36,150.42
159,-160.44,-17.18,143.46
160,-169.06,6.82,153.81
161,-175.53,11.37,144.40
162,-177.28,15.67,157.63
163,-145.31,8.56,161.88
164,-149.39,4.03,153.30
165,-136.95,-1.13,147.47
166,-163.87,5.71,156.34
167,-135.46,25.63,169.90
168,-183.85,2.95,160.65
169,-166.06,2.13,183.60
170,-139.46,16.77,168.35
171,-171.30,1.32,190.38
172,-167.39,1.79,164.43
173,-163.27,27.58,148.84
174,-171.51,5.33,160.52
175,-175.31,4.42,149.87
176,-163.41,9.27,151.81
177,-180.93,32.51,163.44
178,-167.19,6.49,180.59
179,-160.67,9.75,194.84
180,-175.10,13.75,172.25
181,-162.85,0.02,208.01
182,-145.92,15.65,174.68
183,-174.25,3.71,170.97
184,-175.92,5.82,181.43
185,-165.91,9.96,179.25
186,-144.59,5.08,156.34
187,-156.30,12.24,186.25
188,-157.43,-19.43,158.22
189,-180.63,4.10,182.10
190,-158.52,-8.28,160.00
191,-168.22,20.60,177.86
192,-165.18,-6.67,153.86
193,-169.60,6.01,164.83
194,-167.67,2.00,181.11
195,-174.81,-2.42,157.45
196,-155.46,27.42,173.45
197,-169.83,6.33,193.91
198,-161.13,-2.22,181.36
199,-156.11,29.09,180.93
200,-160.67,11.81,183.41
201,-150.99,0.85,162.21
202,-165.65,13.16,195.55
203,-174.26,-1.97,193.27
204,-159.83,21.94,191.56
205,-161.52,8.17,168.99
206,-180.09,-16.66,188.92
207,-180.72,-7.47,168.78
208,-158.72,26.01,184.80
209,-164.67,9.97,177.56
210,-167.71,7.67,163.29
211,-181.91,14.94,191.39
212,-159.42,19.17,188.53
213,-152.84,20.14,185.93
214,-141.02,26.86,178.93
215,-179.39,10.94,187.88
216,-167.50,33.36,166.79
217,-182.34,24.72,184.09
218,-173.09,3.24,186.66
219,-180.62,27.68,175.29
220,-140.62,12.24,174.45
221,-174.62,16.66,211.34
222,-175.47,6.92,183.70
223,-172.92,6.08,181.66
224,-171.73,18.60,173.92
225,-175.88,14.37,179.83
226,-148.86,18.06,192.39
227,-147.24,17.68,190.74
228,-157.26,27.75,185.58
229,-137.69,24.19,191.20
230,-154.54,17.90,173.69
231,-223.13,47.36,169.77
232,-166.89,33.30,188.33
233,-177.61,18.35,173.44
234,-169.17,16.41,210.92
235,-161.48,30.10,189.41
236,-142.82,27.04,182.82
237,-155.40,13.06,203.75
238,-148.67,37.30,179.46
239,-153.88,32.94,210.42
240,-175.89,28.94,180.38
241,-151.37,21.83,193.63
242,-160.77,24.49,187.65
243,-153.59,33.07,194.40
244,-168.97,10.79,181.13
245,-179.30,22.57,191.17
246,-170.85,15.61,187.26
247,-180.72,24.31,202.47
248,-170.69,40.13,194.03
249,-139.49,25.88,194.77
250,-136.56,30.89,201.04
251,-156.18,41.96,189.81
252,-152.28,47.47,196.52
253,-138.58,39.71,203.32
254,-127.89,33.44,210.36
255,-167.37,10.14,201.31
256,-178.02,27.62,200.94
257,-175.37,40.51,208.31
258,-154.44,22.51,198.32
259,-164.12,29.08,203.80
260,-176.70,19.40,193.48
261,-133.28,47.32,202.30
262,-161.30,35.26,204.03
263,-180.18,27.79,211.82
264,-181.76,25.88,197.31
265,-169.36,47.67,192.76
266,-170.81,53.22,209.37
267,-176.74,29.32,206.76
268,-140.78,38.40,195.90
269,-170.83,24.60,210.15
270,-174.25,12.77,199.43
271,-149.21,47.22,204.16
272,-175.21,12.28,197.13
273,-177.68,14.23,201.84
274,-177.77,6.22,186.35
275,-165.34,35.62,196.54
276,-179.16,24.61,203.15
277,-166.42,6.64,199.79
278,-179.20,34.85,196.80
279,-161.79,26.24,207.82
280,-175.05,22.17,201.51
281,-158.70,50.53,206.24
282,-180.45,9.98,216.97
283,-179.84,2.07,202.86
284,-158.61,4.52,194.45
285,-172.00,59.17,199.68
286,-168.91,43.58,195.78
287,-172.33,31.49,205.93
288,-171.60,23.28,202.71
289,-170.08,15.07,194.66
290,-180.16,31.48,190.89
291,-165.29,36.40,201.08
292,-163.41,28.28,195.26
293,-160.46,42.88,208.26
294,-159.14,37.92,198.79
295,-179.14,31.03,193.02
296,-178.14,42.91,201.27
297,-180.14,24.45,202.99
298,-160.35,48.67,198.02
299,-179.40,21.72,209.86
300,-180.95,38.79,202.37
