generation,min_fitness,avg_fitness,max_fitness
0,-173.84,-117.91,-39.24
1,-175.04,-119.91,-90.38
2,-173.13,-120.12,-81.87
3,-173.29,-118.45,-71.84
4,-177.46,-118.59,-81.19
5,-173.44,-112.98,-64.82
6,-171.77,-115.82,-63.10
7,-171.96,-112.69,-57.16
8,-176.22,-116.31,-51.20
9,-173.88,-117.46,-76.21
10,-175.82,-115.08,-87.80
11,-175.30,-111.42,-68.45
12,-173.83,-112.86,-67.21
13,-161.70,-111.63,-39.39
14,-171.55,-110.13,-83.36
15,-170.62,-117.39,-53.42
16,-172.40,-114.05,-62.75
17,-178.93,-116.85,-66.83
18,-197.31,-110.18,-33.76
19,-175.23,-112.83,-82.14
20,-172.07,-112.03,-55.79
21,-162.62,-112.97,-72.70
22,-173.70,-114.99,-64.52
23,-167.87,-110.92,-67.99
24,-171.10,-113.82,-91.41
25,-167.15,-107.98,-64.69
26,-174.59,-111.66,-41.55
27,-166.17,-111.61,-70.23
28,-174.19,-111.58,-38.91
29,-186.32,-113.15,-73.88
30,-175.60,-110.42,-64.41
31,-172.04,-109.90,-62.32
32,-157.12,-110.03,-79.23
33,-165.43,-109.46,-62.62
34,-160.94,-109.12,-60.66
35,-173.59,-112.27,-49.50
36,-172.54,-111.11,-61.45
37,-173.64,-113.86,-22.59
38,-167.12,-110.34,-76.88
39,-172.01,-109.31,-38.50
40,-170.71,-112.24,-84.11
41,-171.38,-109.21,-80.71
42,-171.36,-109.50,-57.56
43,-166.10,-110.52,-41.88
44,-164.69,-109.62,-52.26
45,-157.55,-109.42,-39.55
46,-169.54,-110.28,-37.90
47,-168.21,-109.19,-60.60
48,-170.66,-109.94,-30.81
49,-176.26,-114.82,-76.09
50,-177.78,-113.75,-55.78
51,-174.29,-115.64,-66.89
52,-172.27,-113.64,-50.66
53,-165.11,-112.35,-47.12
54,-167.84,-110.63,-24.98
55,-169.65,-108.84,-55.86
56,-171.55,-106.26,-64.60
57,-171.56,-110.57,-58.40
58,-176.21,-110.80,-45.58
59,-174.93,-110.09,-66.35
60,-155.57,-110.93,-77.23
61,-171.50,-111.15,-80.62
62,-166.77,-108.97,-72.10
63,-173.16,-105.11,-44.79
64,-171.64,-106.62,-43.41
65,-169.68,-110.41,-48.80
66,-180.40,-113.86,-60.68
67,-166.20,-108.28,-1.87
68,-172.16,-109.67,-51.52
69,-168.57,-109.79,-61.00
70,-171.72,-110.89,-54.82
71,-171.06,-107.03,-51.45
72,-162.13,-111.18,-51.59
73,-155.27,-108.50,-44.57
74,-167.39,-108.80,-59.76
75,-171.08,-105.48,-43.31
76,-167.27,-107.01,-35.65
77,-164.41,-108.59,-35.18
78,-168.43,-106.85,-43.57
79,-171.52,-108.32,-36.24
80,-175.46,-106.80,-48.29
81,-161.03,-104.58,6.63
82,-163.07,-104.85,29.49
83,-175.74,-112.16,-32.69
84,-187.71,-110.02,-69.91
85,-198.93,-106.82,-32.03
86,-174.45,-107.10,-55.81
87,-161.33,-106.69,138.51
88,-160.59,-108.16,-26.69
89,-161.68,-99.48,93.75
90,-166.79,-103.92,-27.11
91,-168.76,-108.03,-41.46
92,-167.40,-110.66,-49.07
93,-170.23,-105.78,63.38
94,-177.04,-109.53,-49.46
95,-166.64,-106.32,-14.77
96,-162.11,-100.55,-14.05
97,-167.73,-109.41,-15.68
98,-178.93,-106.41,22.43
99,-163.70,-99.69,26.28
100,-136.65,-97.44,42.49
101,-166.97,-105.32,-13.57
102,-168.90,-102.48,42.05
103,-177.64,-109.88,-35.91
104,-178.23,-106.02,-42.01
105,-171.28,-101.84,-26.68
106,-185.98,-102.88,53.15
107,-159.67,-96.30,98.36
108,-166.02,-103.41,41.86
109,-177.40,-100.39,74.40
110,-168.19,-101.80,126.78
111,-161.07,-103.11,133.15
112,-161.82,-93.89,84.54
113,-169.86,-100.88,15.63
114,-205.52,-96.83,55.18
115,-183.05,-93.71,18.48
116,-166.69,-86.68,133.43
117,-156.83,-100.34,41.29
118,-156.52,-93.48,124.71
119,-186.48,-94.15,154.78
120,-179.74,-85.22,132.00
121,-170.50,-86.37,149.54
122,-157.81,-86.22,129.91
123,-152.77,-84.84,121.86
124,-159.79,-87.49,104.66
125,-174.03,-79.34,131.43
126,-164.92,-80.51,156.58
127,-164.89,-86.17,92.95
128,-171.13,-80.94,91.12
129,-179.91,-80.56,165.72
130,-174.73,-75.95,145.17
131,-167.12,-81.57,157.86
132,-170.94,-74.38,106.74
133,-186.88,-83.51,140.42
134,-175.03,-69.25,161.06
135,-176.05,-60.27,206.65
136,-166.21,-64.47,158.92
137,-171.61,-50.83,159.30
138,-176.30,-48.60,182.11
139,-166.78,-59.85,168.74
140,-164.06,-56.65,183.20
141,-175.73,-56.21,174.53
142,-166.86,-71.04,167.58
143,-213.04,-54.83,183.55
144,-159.73,-44.98,162.88
145,-160.21,-36.34,160.26
146,-172.04,-34.03,180.20
147,-178.30,-52.48,207.86
148,-159.43,-43.68,187.95
149,-168.76,-22.69,187.79
150,-191.77,-30.12,157.62
151,-169.26,-42.32,191.04
152,-168.90,-27.31,178.79
153,-153.66,-19.88,166.34
154,-155.96,-14.09,219.70
155,-170.21,-17.18,212.19
156,-167.12,-40.18,206.14
157,-171.90,-29.31,175.30
158,-166.88,-27.32,175.78
159,-171.36,-19.52,203.65
160,-171.14,-17.82,221.35
161,-156.27,-5.62,231.50
162,-172.16,-0.43,196.80
163,-169.02,14.73,210.97
164,-156.02,2.20,205.71
165,-142.60,3.53,232.75
166,-171.94,3.66,193.19
167,-224.34,-3.00,205.55
168,-171.84,-13.78,195.85
169,-166.93,-10.57,185.99
